date,inst_f buy,inst_t buy,inst_txf_net,inst_txf_oi,inst_mtx_net,inst_mtx_oi,txf_open,txf_high,txf_low,txf_close,txf_volume,tse_open,tse_high,tse_low,tse_close,tse_volume,PutCallVol,PutCallRatio
2022/3/2,-19271587465,1413815343,-2149,-20235,-11464,-10626,17788,17895,17758,17844,94806,17864.11,17918.98,17784.64,17867.6,2933.57,104.38,115.48
2022/3/3,-7432129467,1849331133,765,-19465,3482,-7164,17942,17964,17865,17929,77058,17932.15,18026.03,17906.24,17934.4,3220.56,118.55,125.77
2022/3/4,-43030083366,1781238509,1947,-17517,-1149,-8317,17608,17788,17522,17666,118785,17845.01,17845.01,17710.54,17736.52,3877.85,100.12,115.5
2022/3/7,-82345503145,7641184489,-692,-19469,-14320,-17597,17362,17405,17051,17058,157085,17581.57,17581.57,17135.68,17178.69,4567.83,88.05,89.17
2022/3/8,-46119068234,4682772840,4691,-15856,1769,-11516,16840,17058,16695,16702,160675,17000,17113.67,16764.78,16825.25,4434.65,97.71,85.02
2022/3/9,-31818585620,2046830478,3161,-12720,6223,-4870,16890,17023,16865,16946,115509,16944.08,17072.74,16944.08,17015.36,3161.07,103.38,101.64
2022/3/10,1999855041,1839539279,4260,-7061,9568,-898,17301,17456,17269,17437,102545,17224.73,17478.43,17224.73,17433.2,3513.47,108.16,116.07
2022/3/11,-22645330618,1980260651,-3492,-10553,-4454,-5352,17372,17387,17170,17220,95875,17373.82,17373.9,17239.9,17264.74,2627.7,98.29,102.54
2022/3/14,-14450140811,1590154553,-133,-10667,-872,-6300,17289,17350,17150,17239,120161,17287.9,17363.04,17217.58,17263.04,2861.61,107.63,101.86
2022/3/15,-53831032424,1665485125,-3171,-13835,-6174,-12486,17177,17195,16861,16882,141872,17177.27,17177.27,16911.95,16926.06,3705.76,96.25,93.65
2022/3/16,-14999446940,316313557,5746,-12323,6082,-2877,17080,17089,16801,16937,76060,17007.58,17085.77,16808.43,16940.83,3971.58,105.13,94.89
2022/3/17,44819797545,20738664,-305,-12615,8734,5805,17339,17470,17262,17446,129146,17172.81,17472.95,17172.81,17448.22,4008.74,113.67,118.65
2022/3/18,-1766314101,1894272346,-4359,-16972,-4028,1769,17441,17444,17295,17391,96826,17657.5,17944.5,17657.5,17898.25,3612.24,98.46,108.8
2022/3/21,195523653,357999266,2581,-14391,3690,5459,17442,17577,17439,17489,93353,17503.95,17603.99,17503.95,17560.36,2582.55,118.42,113.92
2022/3/22,-354204030,1723064856,1399,-12992,587,6046,17536,17543,17453,17520,68446,17512.41,17573.29,17468.55,17559.71,2354.56,119.48,115.17
2022/3/23,11269996110,236875677,963,-12056,2965,9308,17644,17735,17610,17702,88805,17581.62,17738.69,17581.62,17731.37,2835.64,107.84,106.25
2022/3/24,-2924561316,-1808920142,1106,-10944,-2559,6725,17570,17687,17548,17671,80125,17711.17,17711.17,17603.22,17699.06,2626.68,99.1,104.86
2022/3/25,726925220,-223539500,-1095,-12078,-4916,1965,17720,17726,17591,17621,83085,17695.8,17747.13,17633.86,17676.95,2861.31,98.44,101.44
2022/3/28,-12570665372,-134614856,2246,-8476,5222,1763,17512,17521,17304,17438,117571,17510.15,17527.15,17368.66,17520.01,2347.7,98.4,97.74
2022/3/29,-8892685034,1329381805,3129,-5357,3288,5091,17560,17577,17484,17545,76398,17568.32,17585.91,17493.01,17548.66,2528.37,118.59,103.4
2022/3/30,22129134508,2200918084,437,-4957,3984,9346,17671,17755,17658,17741,89839,17572.9,17770.07,17572.9,17740.56,2973.14,103.07,106.73
2022/3/31,2468588367,507766390,-4269,-9216,-8846,460,17747,17774,17623,17639,78029,17754.1,17767.81,17682.53,17693.47,2270.5,104.64,104.35
2022/4/1,-10781004405,966450630,2882,-6232,3224,3276,17466,17567,17414,17554,82047,17657.76,17657.76,17465.61,17625.59,2286.54,103.35,103.66
2022/4/6,-26939492104,1140363427,644,-5565,-1243,2248,17439,17508,17327,17506,86927,17484.19,17528.99,17381.07,17522.5,2618.7,107.73,105.27
2022/4/7,-44554541093,1867388479,-1033,-6559,-9341,-7249,17333,17387,17123,17143,114893,17430.13,17438.6,17178.63,17178.63,3098.17,84.37,88.61
2022/4/8,-11506148562,3105651040,3878,-2681,8629,1380,17200,17318,17169,17316,84229,17210.4,17316.69,17210.4,17284.54,2456.64,109.04,92.15
2022/4/11,-34042632524,1524919679,2258,-423,-9115,-7735,17222,17298,16976,17039,128637,17273.05,17316.35,17046.67,17048.37,2995.15,90.12,87.73
2022/4/12,-10092770254,-54422795,-352,-1863,-970,-4353,16960,17068,16906,16999,107948,17005.84,17100.85,16905.13,16990.91,2740.62,108.21,92.05
2022/4/13,10561658947,3139650641,-1378,-3258,7509,3351,17080,17321,17071,17316,107841,17080.4,17333.21,17080.4,17301.65,2609.58,119.69,105.35
2022/4/14,-869485744,1565761896,-1914,-5174,-3948,-589,17349,17352,17251,17298,73517,17353.25,17374.14,17245.65,17245.65,2544.11,98.91,102.96
